question,answer
what's going on with my order,please check the status of your order with your tracking number from your email or visit 'my orders' in your account
how do i initiate,please let us know what you need help with and we'll guide you
hi could you recommend a zesty,for a zesty scent try jo malone lime basil & mandarin or hermès terre d'hermes
do you have any promotions,yes check our website's promotions page or sign up for our newsletter
i've received the wrong item in my order,we apologise please fill out the return form under 'my orders' in your account and include photos for a replacement or refund soeone will be in touch within 24 hours to arrange a resolution
what am i supposed to do huh,please let us know the issue and we'll guide you on the next steps
my order is late it's a present for wife and our anniversary tomorrow,we're sorry please check your tracking number from your email or visit 'my orders' in your account for updates if the issue persists provide your email address so we can investigate into this and advise you on next steps
i bought mugler alien but it's the old version,we apologise if the perfume is unopened please return it using the free shipping returns postage sent to you
i'm quite pissed off you guys sent me the wrong perfumes,we're sorry please fill out the return form under my orders in your account and include photos for a replacement or refund
my order of rabanne 1 million perfume is late,please check your tracking number from your email or visit 'my orders' in your account for updates if the issue persists provide your email address so we can investigate into this and advise you on next steps
hi there i'm looking for a sweet and romantic perfume for a date night any suggestions,for a date night try ysl libre or mfk baccarat rouge 540
i got a bottle of montale tonka and i don't like it its not the same as the description,we're sorry please fill out the return form under my orders in your account and include photos for a replacement or refund
where the hell is my dior ambre nuit the order was supposed to arrive two days ago,we're sorry please check your tracking number from your email or visit my orders in your account for updates if the issue persists provide your order number so we can investigate into this and advise you on next steps
my order has been delayed twice now i'm so frustrated,i understand your frustration and i'm sorry we haven't been able to meet your expectations to speak to a member of our 'resolutions' team please email resolutions@a-zperfumescom and a team memebr will be in contact with you to resolve your query within 24 hours i apologise again and if there is anything else i can assist you with please don't hesitate to let me know
